trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
icd10,A04,both_sexes,A04 Other bacterial intestinal infections,BIN,3088,417443.0,420531,6130.6490318192955,icd10-A04-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,0.0033
icd10,A08,both_sexes,A08 Viral and other specified intestinal infections,BIN,1107,419424.0,420531,2208.171896958845,icd10-A08-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A08-both_sexes.tsv.bgz,0.0001
icd10,A09,both_sexes,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,BIN,9029,411502.0,420531,17670.28617628665,icd10-A09-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A09-both_sexes.tsv.bgz,0.0035
icd10,A41,both_sexes,A41 Other septicaemia,BIN,5512,415019.0,420531,10879.505805755105,icd10-A41-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A41-both_sexes.tsv.bgz,0.0011
icd10,B34,both_sexes,B34 Viral infection of unspecified site,BIN,2129,418402.0,420531,4236.443249130266,icd10-B34-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B34-both_sexes.tsv.bgz,0.0003
icd10,B37,both_sexes,B37 Candidiasis,BIN,3055,417476.0,420531,6065.613141480651,icd10-B37-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B37-both_sexes.tsv.bgz,0.0009
icd10,B95,both_sexes,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,BIN,5009,415522.0,420531,9898.674285605579,icd10-B95-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B95-both_sexes.tsv.bgz,0.0026
icd10,B96,both_sexes,B96 Other bacterial agents as the cause of diseases classified to other chapters,BIN,10629,409902.0,420531,20720.700057784088,icd10-B96-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B96-both_sexes.tsv.bgz,0.0046
icd10,B98,both_sexes,B98 Other specified infectious agents as the cause of diseases classified to other chapters,BIN,1486,419045.0,420531,2961.498058407109,icd10-B98-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B98-both_sexes.tsv.bgz,-0.0039
icd10,C18,both_sexes,C18 Malignant neoplasm of colon,BIN,3759,416772.0,420531,7450.798861439465,icd10-C18-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C18-both_sexes.tsv.bgz,0.0046
