Unnamed: 0,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed,n_cases_AFR,n_controls_AFR,n_eff_AFR
1679,biomarkers,30610,both_sexes,,irnt,Alkaline phosphatase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400988,,400988,400988.0,biomarkers-30610-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz,0.205,6216.0,,6216.0
1680,biomarkers,30620,both_sexes,,irnt,Alanine aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400822,,400822,400822.0,biomarkers-30620-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz,0.124,6214.0,,6214.0
1685,biomarkers,30670,both_sexes,,irnt,Urea,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400687,,400687,400687.0,biomarkers-30670-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz,0.119,6213.0,,6213.0
1690,biomarkers,30720,both_sexes,,irnt,Cystatin C,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400940,,400940,400940.0,biomarkers-30720-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30720-both_sexes-irnt.tsv.bgz,0.23,6213.0,,6213.0
1687,biomarkers,30690,both_sexes,,irnt,Cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400963,,400963,400963.0,biomarkers-30690-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz,0.108,6212.0,,6212.0
1688,biomarkers,30700,both_sexes,,irnt,Creatinine,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400761,,400761,400761.0,biomarkers-30700-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30700-both_sexes-irnt.tsv.bgz,0.213,6212.0,,6212.0
1691,biomarkers,30730,both_sexes,,irnt,Gamma glutamyltransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400751,,400751,400751.0,biomarkers-30730-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30730-both_sexes-irnt.tsv.bgz,0.18,6212.0,,6212.0
1705,biomarkers,30870,both_sexes,,irnt,Triglycerides,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400639,,400639,400639.0,biomarkers-30870-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz,0.177,6211.0,,6211.0
1706,biomarkers,30880,both_sexes,,irnt,Urate,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400469,,400469,400469.0,biomarkers-30880-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30880-both_sexes-irnt.tsv.bgz,0.172,6206.0,,6206.0
1689,biomarkers,30710,both_sexes,,irnt,C-reactive protein,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400094,,400094,400094.0,biomarkers-30710-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz,0.15,6203.0,,6203.0
1696,biomarkers,30780,both_sexes,,irnt,LDL direct,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,400223,,400223,400223.0,biomarkers-30780-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz,0.0907,6200.0,,6200.0
1683,biomarkers,30650,both_sexes,,irnt,Aspartate aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,399482,,399482,399482.0,biomarkers-30650-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz,0.143,6180.0,,6180.0
1695,biomarkers,30770,both_sexes,,irnt,IGF-1,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,398797,,398797,398797.0,biomarkers-30770-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,0.252,6178.0,,6178.0
1702,biomarkers,30840,both_sexes,,irnt,Total bilirubin,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,399286,,399286,399286.0,biomarkers-30840-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30840-both_sexes-irnt.tsv.bgz,0.08,6176.0,,6176.0
1682,biomarkers,30640,both_sexes,,irnt,Apolipoprotein B,,,Biological samples > Assay results > Blood assays > Blood biochemistry,QT,399003,,399003,399003.0,biomarkers-30640-both_sexes-irnt.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz,0.102,6169.0,,6169.0
